Beer PLU,Beer Name,Date Purchased,Store Name,Abv,Style,Color,Format
62035,MNDNT BLIND PIRATE,7/2/2013 0:00,Mall of Georgia,7.4,Double IPA,medium,draft
11219,MOLSON CANADIAN,6/9/2013 0:00,Mall of Georgia,5,Lager,light,draft
9663,Molson Canadian,12/17/2008 0:00,Crabapple,5,Lager,light,bottle
9190,Molson Golden,12/17/2008 0:00,Crabapple,5,Lager,light,bottle
20818,Monday Night Drafty Kilt,9/27/2013 0:00,Crabapple,7.2,Scotch Ale,light,bottle
60767,MONDAY NIGHT EYE PATCH,12/12/2012 0:00,Crabapple,6.2,IPA,medium,draft
20819,Monday Night Eye Patch,7/21/2013 0:00,Crabapple,6.2,IPA,medium,bottle
61361,MONDAY NIGHT FU MANBREW,6/5/2014 0:00,Crabapple,5.2,Witbier/White Beer,light,draft
62874,MONDAY NIGHT NERD ALERT,7/28/2014 0:00,Windward,5.7,Pilsner,light,draft
65389,MONDAY NT DAD BOD,12/26/2016 0:00,Crabapple,6,Saison,light,draft
11346,MONTY PYTHON'S HOLY GRA,4/22/2013 0:00,Mall of Georgia,4.7,Amber/Red Ale,medium,draft
65778,MOTHER EARTH BOOKOO,7/8/2022 13:43,Crabapple,6.5,IPA,medium,draft
60176,MOTHER EARTH DK CLOUD D,12/12/2013 0:00,Mall of Georgia,5.1,Dark Lager,dark,draft
60715,MOTHER EARTH OLD NGHBR,2/20/2014 0:00,Windward,5.5,Porter,dark,draft
20660,Mother Earth Sister Moon,12/28/2012 0:00,Crabapple,6.9,IPA,medium,bottle
60178,MOTHER EARTH WEEP WILWT,12/26/2013 0:00,Mall of Georgia,5,Witbier/White Beer,light,draft
11926,MOYLANS DOUBLE IPA,10/4/2013 0:00,Mall of Georgia,8.5,IPA,medium,draft
11927,MOYLANS IPA,11/2/2009 0:00,Crabapple,6.5,IPA,medium,draft
61416,NATTY GREENES FREEDOM I,10/13/2013 0:00,xSouthpark,6.5,IPA,medium,draft
11711,NEW BELGIUM 1554 BLACK,12/29/2010 0:00,Crabapple,5.5,Belgian Dark Ale,dark,draft
12208,NEW BELGIUM 2 BELOW,12/19/2010 0:00,Crabapple,6.6,ESB,medium,draft
60992,NEW BELGIUM DIG PALE ALE,2/11/2012 0:00,Crabapple,5.6,Pale Ale,medium,draft
11681,NEW BELGIUM FAT TIRE,12/18/2009 0:00,Crabapple,5.2,Amber/Red Ale,medium,draft
60517,NEW BELGIUM LE TERROIR,12/26/2013 0:00,Mall of Georgia,7.5,Sour Ale,medium,draft
11710,NEW BELGIUM MOTHERSHIP,9/14/2009 0:00,Crabapple,4.8,Witbier/White Beer,light,draft
61876,NEW BELGIUM RAMPANT IIP,3/31/2013 0:00,Mall of Georgia,8.5,Double IPA,medium,draft
12346,NEW BELGIUM RANGER IPA,4/1/2010 0:00,Crabapple,6.5,IPA,medium,draft
10587,New Belgium Ranger IPA,4/9/2013 0:00,Mall of Georgia,6.5,IPA,medium,bottle
61999,NEW BELGIUM ROLLE BOLLE,7/11/2013 0:00,Mall of Georgia,5.2,Fruit/Herbed/Spice Beer,medium,draft
61822,NEW BELGIUM SHIFT,4/2/2013 0:00,Mall of Georgia,5,Lager,light,draft
20452,New Belgium Shift 16oz,12/17/2012 0:00,xEast Roswell,5,Lager,light,bottle
60527,NEW BELGIUM TRIPEL,5/31/2011 0:00,Crabapple,7.8,Tripel,medium,draft
66801,NEW BELGIUM VOODOO JUIC,12/22/2019 0:00,Mall of Georgia,7.5,IPA,medium,draft
61592,NEW HOLLAND CABIN FEVER,2/14/2015 0:00,Windward,6,Brown Ale,dark,draft
60160,NEW HOLLAND FULL CIRCLE,4/2/2013 0:00,Mall of Georgia,5.25,Blonde Ale,light,draft
60158,NEW HOLLAND MAD HATTER,3/31/2013 0:00,Mall of Georgia,7,IPA,medium,draft
60159,NEW HOLLAND THE POET,4/4/2013 0:00,Crabapple,5.2,Stout,dark,draft
61918,NEW HOLLAND WHITE HATTE,11/21/2013 0:00,Mall of Georgia,5.5,Belgian Pale,medium,draft
11087,NEWCASTLE BROWN ALE,7/11/2013 0:00,Mall of Georgia,4.7,Brown Ale,dark,draft
61726,NIMBUS PALO VERDE,4/9/2013 0:00,Mall of Georgia,5.5,Pale Ale,medium,draft
61016,NODA HOP DROP 'N ROLL,10/13/2013 0:00,xSouthpark,7.2,IPA,medium,draft
